period,stateid,value,type
2026-06-01,ME,1298.2463,Forecasted
2026-07-01,ME,1356.8755,Forecasted
2026-08-01,ME,1356.8755,Forecasted
2026-09-01,ME,1281.2915,Forecasted
2026-10-01,ME,1235.4534,Forecasted
2026-11-01,ME,1228.7349,Forecasted
2026-12-01,ME,1285.0764,Forecasted
2027-01-01,ME,1283.1232,Forecasted
2027-02-01,ME,1243.024,Forecasted
2027-03-01,ME,1243.024,Forecasted
2027-04-01,ME,1208.7411,Forecasted
2027-05-01,ME,1214.9214,Forecasted
2027-06-01,ME,1298.2463,Forecasted
2027-07-01,ME,1356.8755,Forecasted
2027-08-01,ME,1356.8755,Forecasted
2027-09-01,ME,1281.2915,Forecasted
2027-10-01,ME,1235.4534,Forecasted
2027-11-01,ME,1228.7349,Forecasted
2027-12-01,ME,1285.0764,Forecasted
2028-01-01,ME,1283.1232,Forecasted
2028-02-01,ME,1243.024,Forecasted
2028-03-01,ME,1243.024,Forecasted
2028-04-01,ME,1208.7411,Forecasted
2028-05-01,ME,1214.9214,Forecasted
2028-06-01,ME,1298.2463,Forecasted
2028-07-01,ME,1356.8755,Forecasted
2028-08-01,ME,1356.8755,Forecasted
2028-09-01,ME,1281.2915,Forecasted
2028-10-01,ME,1235.4534,Forecasted
2028-11-01,ME,1228.7349,Forecasted
2028-12-01,ME,1285.0764,Forecasted
2029-01-01,ME,1283.1232,Forecasted
2029-02-01,ME,1243.024,Forecasted
2029-03-01,ME,1243.024,Forecasted
2029-04-01,ME,1208.7411,Forecasted
2029-05-01,ME,1214.9214,Forecasted
2029-06-01,ME,1298.2463,Forecasted
2029-07-01,ME,1356.8755,Forecasted
2029-08-01,ME,1356.8755,Forecasted
2029-09-01,ME,1281.2915,Forecasted
2029-10-01,ME,1235.4534,Forecasted
2029-11-01,ME,1228.7349,Forecasted
2029-12-01,ME,1285.0764,Forecasted
2030-01-01,ME,1283.1232,Forecasted
2030-02-01,ME,1243.024,Forecasted
2030-03-01,ME,1243.024,Forecasted
2030-04-01,ME,1208.7411,Forecasted
2030-05-01,ME,1214.9214,Forecasted
2030-06-01,ME,1298.2463,Forecasted
2030-07-01,ME,1356.8755,Forecasted
2030-08-01,ME,1356.8755,Forecasted
2025-09-01,MD,4957.881,Forecasted
2025-10-01,MD,4897.1636,Forecasted
2025-11-01,MD,4890.4453,Forecasted
2025-12-01,MD,4946.786,Forecasted
2026-01-01,MD,4994.413,Forecasted
2026-02-01,MD,4913.549,Forecasted
2026-03-01,MD,4913.549,Forecasted
2026-04-01,MD,4886.214,Forecasted
2026-05-01,MD,4892.394,Forecasted
2026-06-01,MD,4957.962,Forecasted
2026-07-01,MD,5042.961,Forecasted
2026-08-01,MD,5042.961,Forecasted
2026-09-01,MD,4957.881,Forecasted
2026-10-01,MD,4897.1636,Forecasted
2026-11-01,MD,4890.4453,Forecasted
2026-12-01,MD,4946.786,Forecasted
2027-01-01,MD,4994.413,Forecasted
2027-02-01,MD,4913.549,Forecasted
2027-03-01,MD,4913.549,Forecasted
2027-04-01,MD,4886.214,Forecasted
2027-05-01,MD,4892.394,Forecasted
2027-06-01,MD,4957.962,Forecasted
2027-07-01,MD,5042.961,Forecasted
2027-08-01,MD,5042.961,Forecasted
2027-09-01,MD,4957.881,Forecasted
2027-10-01,MD,4897.1636,Forecasted
2027-11-01,MD,4890.4453,Forecasted
2027-12-01,MD,4946.786,Forecasted
2028-01-01,MD,4994.413,Forecasted
2028-02-01,MD,4913.549,Forecasted
2028-03-01,MD,4913.549,Forecasted
2028-04-01,MD,4886.214,Forecasted
2028-05-01,MD,4892.394,Forecasted
2028-06-01,MD,4957.962,Forecasted
2028-07-01,MD,5042.961,Forecasted
2028-08-01,MD,5042.961,Forecasted
2028-09-01,MD,4957.881,Forecasted
2028-10-01,MD,4897.1636,Forecasted
2028-11-01,MD,4890.4453,Forecasted
2028-12-01,MD,4946.786,Forecasted
2029-01-01,MD,4994.413,Forecasted
2029-02-01,MD,4913.549,Forecasted
2029-03-01,MD,4913.549,Forecasted
2029-04-01,MD,4886.214,Forecasted
2029-05-01,MD,4892.394,Forecasted
2029-06-01,MD,4957.962,Forecasted
2029-07-01,MD,5042.961,Forecasted
2029-08-01,MD,5042.961,Forecasted
2029-09-01,MD,4957.881,Forecasted
2029-10-01,MD,4897.1636,Forecasted
2029-11-01,MD,4890.4453,Forecasted
2029-12-01,MD,4946.786,Forecasted
2030-01-01,MD,4994.413,Forecasted
2030-02-01,MD,4913.549,Forecasted
2030-03-01,MD,4913.549,Forecasted
2030-04-01,MD,4886.214,Forecasted
2030-05-01,MD,4892.394,Forecasted
2030-06-01,MD,4957.962,Forecasted
2030-07-01,MD,5042.961,Forecasted
2030-08-01,MD,5042.961,Forecasted
2025-09-01,MA,5411.5293,Forecasted
2025-10-01,MA,5373.5723,Forecasted
2025-11-01,MA,5366.854,Forecasted
2025-12-01,MA,5416.1177,Forecasted
2026-01-01,MA,5486.831,Forecasted
2026-02-01,MA,5451.304,Forecasted
2026-03-01,MA,5451.304,Forecasted
2026-04-01,MA,5430.286,Forecasted
2026-05-01,MA,5436.4663,Forecasted
2026-06-01,MA,5409.0537,Forecasted
2026-07-01,MA,5607.5454,Forecasted
2026-08-01,MA,5607.5454,Forecasted
2026-09-01,MA,5411.5293,Forecasted
2026-10-01,MA,5373.5723,Forecasted
2026-11-01,MA,5366.854,Forecasted
2026-12-01,MA,5416.1177,Forecasted
2027-01-01,MA,5486.831,Forecasted
2027-02-01,MA,5451.304,Forecasted
2027-03-01,MA,5451.304,Forecasted
2027-04-01,MA,5430.286,Forecasted
2027-05-01,MA,5436.4663,Forecasted
2027-06-01,MA,5409.0537,Forecasted
2027-07-01,MA,5607.5454,Forecasted
2027-08-01,MA,5607.5454,Forecasted
2027-09-01,MA,5411.5293,Forecasted
2027-10-01,MA,5373.5723,Forecasted
2027-11-01,MA,5366.854,Forecasted
2027-12-01,MA,5416.1177,Forecasted
2028-01-01,MA,5486.831,Forecasted
2028-02-01,MA,5451.304,Forecasted
2028-03-01,MA,5451.304,Forecasted
2028-04-01,MA,5430.286,Forecasted
2028-05-01,MA,5436.4663,Forecasted
2028-06-01,MA,5409.0537,Forecasted
2028-07-01,MA,5607.5454,Forecasted
2028-08-01,MA,5607.5454,Forecasted
2028-09-01,MA,5411.5293,Forecasted
2028-10-01,MA,5373.5723,Forecasted
2028-11-01,MA,5366.854,Forecasted
2028-12-01,MA,5416.1177,Forecasted
2029-01-01,MA,5486.831,Forecasted
